,Sentiment,Toxicity_Score,Question,Domain_Classification,Domain_Score,Domain_Confidence,Domain_Evidence,Topic_Classification,Topic_Score,Topic_Confidence,Topic_Evidence,Hostility_Classification,Hostility_Score,Hostility_Confidence,Hostility_Evidence,Racism_Classification,Racism_Score,Racism_Confidence,Racism_Evidence,Sexism_Classification,Sexism_Score,Sexism_Confidence,Sexism_Evidence,Innapropriate_Language_Classification,Innapropriate_Language_Score,Innapropriate_Language_Confidence,Innapropriate_Language_Evidence,Practicing_Medicine_Classification,Practicing_Medicine_Score,Practicing_Medicine_Confidence,Practicing_Medicine_Evidence
50,Toxic,-0.4666666666666666,I really dislike Danny Devito and I really hate Jersey Mikes stupid subs ? ,general,0,0.0,,general,0,0.0,,hostility,2,100.0,"stupid, hate",general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
51,Neutral,0.25,How many different penguins of each species ?,penguin,2,100.0,"penguins, species",penguin,1,100.0,penguins,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
52,Neutral,0.0,Which Penguin species have the longest bills ?,penguin,1,100.0,species,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
53,Toxic,-0.8,"Which Islands are penguins from, rank them by penguin population ?",healthcare,1,50.0,population,penguin,1,100.0,penguins,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
54,Neutral,0.3,how many people in WNY smoke and are under 21 years old ?,healthcare,1,100.0,smoke,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
55,Neutral,0.3,how many people in WNY and are under 21 years old ?,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
56,Neutral,0.3,how many people in WNY smoke and are over 21 years old ?,healthcare,1,100.0,smoke,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
57,Neutral,0.3,how many people in WNY smoke and are under 21 years old ?,healthcare,1,100.0,smoke,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
58,Neutral,0.4,how many people in WNY are economically disadvanttaged ?,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
59,Neutral,0.0,What medical provider should I go to ?,healthcare,1,100.0,medical,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,practicing_medicine,1,100.0,should I
60,Neutral,0.0,When did the titanic sink ?,titanic,1,100.0,titanic,titanic,1,100.0,titanic,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
61,Neutral,0.0,Why did the titanic sink ?,titanic,1,100.0,titanic,titanic,1,100.0,titanic,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
62,Neutral,0.0,Does Johnny Depp have aids ?,healthcare,1,100.0,aids,infectious disease,1,100.0,aids,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
63,Neutral,0.0,Why do porupines have quills ?,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
64,Neutral,0.5,how many men in WNY and are obese ?,healthcare,1,50.0,obese,weight,1,100.0,obese,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
65,Neutral,0.5,how many ladies in WNY and are obese ?,healthcare,1,100.0,obese,weight,1,100.0,obese,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
66,Neutral,0.5,how many children in WNY and are obese ?,healthcare,1,50.0,obese,weight,1,100.0,obese,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
67,Neutral,0.5,how many men in WNY have diabetes ?,healthcare,1,50.0,diabetes,disease,1,50.0,diabetes,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
68,Neutral,0.5,how many ladies in WNY have diabetes ?,healthcare,1,100.0,diabetes,disease,1,50.0,diabetes,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
69,Neutral,0.5,how many children in WNY have diabetes ?,healthcare,1,50.0,diabetes,disease,1,50.0,diabetes,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
70,Neutral,0.5,how many men in WNY have diabetes and smoke and are obese?,healthcare,3,75.0,"diabetes, smoke, obese",disease,1,33.33,diabetes,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
71,Neutral,0.5,how many children in WNY have diabetes and smoke and are obese?,healthcare,3,75.0,"diabetes, smoke, obese",disease,1,33.33,diabetes,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
72,Neutral,0.5,how many children in WNY?,titanic,1,100.0,children,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
73,Neutral,0.5,how many teanagers in WNY smoke ?,healthcare,1,100.0,smoke,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
74,Neutral,0.5,how many elderly women in WNY have diabetes ?,titanic,2,66.67,"women, elderly",disease,1,50.0,diabetes,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
75,Neutral,0.5,how many children in WNY have diabetes ?,healthcare,1,50.0,diabetes,disease,1,50.0,diabetes,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
76,Neutral,0.5,At what age is obesity most prevelant ?,healthcare,1,50.0,obesity,chronic disease,1,50.0,obesity,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
77,Neutral,0.0,What percent of females between 45 and 75 have breast cancer screenings?,healthcare,2,100.0,"breast, cancer",disease,1,100.0,cancer,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
78,Neutral,0.0,What percent of females who do nopt smoke between ages of 45 and 75 have breast cancer screenings?,healthcare,3,100.0,"smoke, breast, cancer",disease,1,100.0,cancer,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
79,Neutral,0.0,What percent of men between the age of 55 and 75 have colorectal cancer screenings?,titanic,2,66.67,"men, age",disease,1,100.0,cancer,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
80,Neutral,0.3,how many people in WNY smoke and are over 21 years old ?,healthcare,1,100.0,smoke,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
81,Neutral,0.3,how many people in WNY smoke and are under 21 years old ?,healthcare,1,100.0,smoke,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
82,Neutral,0.5,how many adults in WNY and are obese ?,healthcare,1,100.0,obese,weight,1,100.0,obese,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
83,Neutral,0.3,how many adult men in WNY have diabetes ?,healthcare,1,50.0,diabetes,disease,1,50.0,diabetes,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
84,Neutral,0.3,how many 80 year old ladies in WNY have diabetes ?,healthcare,1,100.0,diabetes,disease,1,50.0,diabetes,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
85,Neutral,0.5,how many peope in there 30s in WNY have diabetes ?,healthcare,1,100.0,diabetes,disease,1,50.0,diabetes,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
86,Neutral,0.5,how many men in WNY have diabetes and smoke and are not obese?,healthcare,3,75.0,"diabetes, smoke, obese",disease,1,33.33,diabetes,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
87,Neutral,0.0,how prevalent is smoking in WNY ?,healthcare,1,100.0,smoking,condition,1,100.0,smoking,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
88,Neutral,0.0,Draw mwe a bar chart of people who smoke by age grouping into decades ?,healthcare,2,66.67,"smoke, chart",medical,1,100.0,chart,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
89,Neutral,0.33,how many men in WNY and are obese and have high blood pressure?,healthcare,2,66.67,"obese, blood pressure",disease,1,33.33,blood pressure,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
90,Neutral,0.5,how many ladies in WNY and are obese and eat a lot of cheese ?,healthcare,1,100.0,obese,weight,1,100.0,obese,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
91,Neutral,0.5,how many children in WNY cannot read or write ?,titanic,1,100.0,children,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
92,Neutral,0.3181818181818182,how many people in WNY live in a food desert ?,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
93,Neutral,0.5,What postal code has the most smokers in it ?,healthcare,1,100.0,smokers,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
94,Neutral,0.0,What postal code has the highest percentage of smokers ?,healthcare,1,100.0,smokers,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
95,Neutral,0.5,How many people in lockport are smokers ?,healthcare,1,100.0,smokers,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
96,Neutral,0.5,How many people in clarence are smokers ?,healthcare,1,100.0,smokers,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
97,Neutral,0.0,what percentage of people in clarence are heperglycemic ?,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
98,Neutral,0.5,How many people in buffalo are smokers ?,healthcare,1,100.0,smokers,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
99,Neutral,0.5,How many people in buffalo have a cancer screening ?,healthcare,2,100.0,"screening, cancer",disease,1,50.0,cancer,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
100,Neutral,0.5,How many people under 20 died on the titanic ?,titanic,2,100.0,"titanic, died",titanic,2,100.0,"titanic, died",general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
101,Neutral,0.3181818181818182,How many penguins live on each island ?,penguin,2,100.0,"island, penguins",penguin,1,100.0,penguins,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
102,Neutral,0.0,How people of each gender are on the titanic ?,titanic,1,100.0,titanic,titanic,1,100.0,titanic,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,,general,0,0.0,
